EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,
5270855,WILMETTE HBR TO MEIGS FIELD IL (ZONE),HARRISON-DEVER CRIB,10/24/2001,1355,Marine Thunderstorm Wind,35, ,0,0,0,0,XX,CST,M,1124040,M,741,LOT,0,0,COASTAL OBSERVING STATION, , , , , , , ,HARRISON-DEVER CRIB,10/24/2001,1355, , , , ,,"These high winds were associated with a squall line that moved across northern Illinois and northwest Indiana during the afternoon of October 24th.  For more information on land reports, see Stormdata October 2001, Illinois Northeast, October 24th.",1,
5270856,CALUMET HBR IL TO GARY IN (ZONE),BUFFINGTON HARBOR,10/24/2001,1400,Marine Thunderstorm Wind,45, ,0,0,0,0,XX,CST,M,1124040,M,743,LOT,0,0,MARINER, , , , , , , ,BUFFINGTON HARBOR,10/24/2001,1400, , , , ,,"These high winds were associated with a squall line that moved across northern Illinois and northwest Indiana during the afternoon of October 24th.  For more information on land reports, see Stormdata October 2001, Illinois Northeast, October 24th.",2,
5288897,GRAND TRAVERSE BAY & NORWOOD TO GRAND TRAVERSE LT MI (ZONE),TRAVERSE CITY,4/18/2002,937,Marine Thunderstorm Wind,44, ,0,0,0,0,XX,EST,M,1133201,M,323,APX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,TRAVERSE CITY,4/18/2002,937,44.6,-85.61667,44.6,-85.61667,
5288898,GRAND TRAVERSE LT TO SLEEPING BEAR PT MI (ZONE),LELAND,4/18/2002,937,Marine Thunderstorm Wind,44, ,0,0,0,0,XX,EST,M,1133201,M,344,APX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,LELAND,4/18/2002,937,45.01667,-85.75,45.01667,-85.75,
5308798,NORTH PT LT TO WIND PT WI (ZONE),MILWAUKEE HARBOR,4/18/2002,1615,Marine Thunderstorm Wind,42, ,0,0,0,0,XX,CST,M,1139126,M,645,MKX,0,0,COASTAL OBSERVING STATION, , , , , , , ,MILWAUKEE HARBOR,4/18/2002,1615,43.03333,-87.96667,43.03333,-87.96667,,A series of short lines of severe thunderstorms developed ahead and along a cold front which moved east across Lake Michigan.  Powerful wind gusts were produced.,5,
5308799,SHEBOYGAN TO PT WASHINGTON WI (ZONE),SHEBOYGAN,4/18/2002,1622,Marine Thunderstorm Wind,35, ,0,0,0,0,XX,CST,M,1139126,M,643,MKX,0,0,COASTAL OBSERVING STATION, , , ,1,E,1,E,SHEBOYGAN,4/18/2002,1622,43.75,-87.7,43.75,-87.7,,A series of short lines of severe thunderstorms developed ahead and along a cold front which moved east across Lake Michigan.  Powerful wind gusts were produced.,6,
5308801,SHEBOYGAN TO PT WASHINGTON WI (ZONE),SHEBOYGAN,4/18/2002,1700,Marine Thunderstorm Wind,35, ,0,0,0,0,XX,CST,M,1139126,M,643,MKX,0,0,COASTAL OBSERVING STATION, , , ,1,E,1,E,SHEBOYGAN,4/18/2002,1700,43.75,-87.7,43.75,-87.7,,A series of short lines of severe thunderstorms developed ahead and along a cold front which moved east across Lake Michigan.  Powerful wind gusts were produced.,7,
5308800,NORTH PT LT TO WIND PT WI (ZONE),MILWAUKEE HARBOR,4/18/2002,1700,Marine Thunderstorm Wind,44, ,0,0,0,0,XX,CST,M,1139126,M,645,MKX,0,0,COASTAL OBSERVING STATION, , , , , , , ,MILWAUKEE HARBOR,4/18/2002,1700,43.03333,-87.96667,43.03333,-87.96667,,A series of short lines of severe thunderstorms developed ahead and along a cold front which moved east across Lake Michigan.  Powerful wind gusts were produced.,8,
5308803,NORTH PT LT TO WIND PT WI (ZONE),MILWAUKEE HARBOR,4/18/2002,1735,Marine Thunderstorm Wind,45, ,0,0,0,0,XX,CST,M,1139126,M,645,MKX,0,0,COASTAL OBSERVING STATION, , , , , , , ,MILWAUKEE HARBOR,4/18/2002,1835,43.03333,-87.96667,43.03333,-87.96667,,A series of short lines of severe thunderstorms developed ahead and along a cold front which moved east across Lake Michigan.  Powerful wind gusts were produced.,9,
5308802,SHEBOYGAN TO PT WASHINGTON WI (ZONE),SHEBOYGAN,4/18/2002,1800,Marine Thunderstorm Wind,35, ,0,0,0,0,XX,CST,M,1139126,M,643,MKX,0,0,COASTAL OBSERVING STATION, , , ,1,E,1,E,SHEBOYGAN,4/18/2002,1800,43.75,-87.7,43.75,-87.7,,A series of short lines of severe thunderstorms developed ahead and along a cold front which moved east across Lake Michigan.  Powerful wind gusts were produced.,10,
5290938,LM WHITEHALL TO MANISTEE MI 5NM OFFHORE TO MID LINE OF LAKE (ZONE),LUDINGTON HARBOR,4/18/2002,1854,Marine Thunderstorm Wind,40, ,0,0,0,0,XX,EST,M,1134253,M,869,GRR,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,LUDINGTON HARBOR,4/18/2002,1854,43.95,-86.45,43.95,-86.45,
5290939,LM WHITEHALL TO MANISTEE MI 5NM OFFHORE TO MID LINE OF LAKE (ZONE),LUDINGTON HARBOR,4/18/2002,1900,Marine Thunderstorm Wind,52, ,0,0,0,0,XX,EST,M,1134253,M,869,GRR,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,LUDINGTON HARBOR,4/18/2002,1900,43.95,-86.45,43.95,-86.45,
5308804,NORTH PT LT TO WIND PT WI (ZONE),MILWAUKEE HARBOR,4/18/2002,1925,Marine Thunderstorm Wind,35, ,0,0,0,0,XX,CST,M,1139126,M,645,MKX,0,0,COASTAL OBSERVING STATION, , , , , , , ,MILWAUKEE HARBOR,4/18/2002,1925,43.03333,-87.96667,43.03333,-87.96667,,A series of short lines of severe thunderstorms developed ahead and along a cold front which moved east across Lake Michigan.  Powerful wind gusts were produced.,13,
5290940,LM HOLLAND TO WHITEHALL MI 5NM OFFSHORE TO MID LINE OF LAKE (ZONE),MUSKEGON HARBOR,4/18/2002,1950,Marine Thunderstorm Wind,36, ,0,0,0,0,XX,EST,M,1134253,M,868,GRR,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,MUSKEGON HARBOR,4/18/2002,1950,43.23333,-86.23333,43.23333,-86.23333,
5292169,BAY OF GREEN BAY S OF LN MARINETTE TO FISH CREEK WI (ZONE),GREEN BAY LIGHT,4/18/2002,1955,Marine Thunderstorm Wind,40, ,0,0,0,0,XX,CST,M,1134079,M,522,GRB,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,GREEN BAY LIGHT,4/18/2002,1955,44.51667,-88.01667,44.51667,-88.01667,
5290941,LM HOLLAND TO WHITEHALL MI 5NM OFFSHORE TO MID LINE OF LAKE (ZONE),MUSKEGON HARBOR,4/18/2002,1956,Marine Thunderstorm Wind,41, ,0,0,0,0,XX,EST,M,1134253,M,868,GRR,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,MUSKEGON HARBOR,4/18/2002,1956,43.23333,-86.23333,43.23333,-86.23333,
5308805,WIND PT LT WI TO WINTHROP HBR IL (ZONE),KENOSHA,4/18/2002,2008,Marine Thunderstorm Wind,45, ,0,0,0,0,XX,CST,M,1139126,M,646,MKX,0,0,AWOS,ASOS,MESONET,ETC, , , ,2,E,2,E,KENOSHA,4/18/2002,2008,42.58333,-87.8,42.58333,-87.8,
5308806,WIND PT LT WI TO WINTHROP HBR IL (ZONE),RACINE,4/18/2002,2011,Marine Thunderstorm Wind,42, ,0,0,0,0,XX,CST,M,1139126,M,646,MKX,0,0,AWOS,ASOS,MESONET,ETC, , , ,2,E,2,E,RACINE,4/18/2002,2011,42.71667,-87.76667,42.71667,-87.76667,
5290942,LM HOLLAND TO WHITEHALL MI 5NM OFFSHORE TO MID LINE OF LAKE (ZONE),MUSKEGON HARBOR,4/18/2002,2115,Marine Thunderstorm Wind,47, ,0,0,0,0,XX,EST,M,1134253,M,868,GRR,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,MUSKEGON HARBOR,4/18/2002,2115,43.23333,-86.23333,43.23333,-86.23333,
5290943,LM HOLLAND TO WHITEHALL MI 5NM OFFSHORE TO MID LINE OF LAKE (ZONE),HOLLAND HARBOR,4/18/2002,2125,Marine Thunderstorm Wind,41, ,0,0,0,0,XX,EST,M,1134253,M,868,GRR,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,HOLLAND HARBOR,4/18/2002,2125,42.78333,-86.11667,42.78333,-86.11667,
5288970,GRAND TRAVERSE LT TO SLEEPING BEAR PT MI (ZONE),GRAND TRAVERSE LIGHT,4/18/2002,2234,Marine Thunderstorm Wind,36, ,0,0,0,0,XX,EST,M,1133203,M,344,APX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,GRAND TRAVERSE LIGHT,4/18/2002,2234,45.16667,-85.5,45.16667,-85.5,
5288969,GRAND TRAVERSE BAY & NORWOOD TO GRAND TRAVERSE LT MI (ZONE),NORWOOD,4/18/2002,2234,Marine Thunderstorm Wind,36, ,0,0,0,0,XX,EST,M,1133203,M,323,APX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,NORWOOD,4/18/2002,2234,45.21667,-85.36667,45.21667,-85.36667,
5288973,SLEEPING BEAR PT TO MANISTEE MI (ZONE),MANISTEE,4/18/2002,2234,Marine Thunderstorm Wind,36, ,0,0,0,0,XX,EST,M,1133203,M,345,APX,0,0,AWOS,ASOS,MESONET,ETC, , , , , , , ,MANISTEE,4/18/2002,2234,44.25,-86.31667,44.25,-86.31667,
